"2019/07  Daily Trading Value/Volume of 2330 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2019/07/01","66,370,875","16,445,222,750","245.50","250.00","245.00","248.50","+9.50","29,551",
"2019/07/02","26,832,202","6,671,951,743","249.50","250.00","247.50","249.00","+0.50","12,531",
"2019/07/03","29,549,774","7,190,777,082","244.00","245.00","242.00","242.50","-6.50","16,033",
"2019/07/04","18,691,240","4,561,556,160","244.50","245.00","242.50","244.00","+1.50","8,565",
"2019/07/05","27,317,074","6,624,379,927","244.50","245.00","241.50","243.00","-1.00","9,013",
"2019/07/08","29,190,909","7,057,462,187","240.00","244.50","240.00","242.50","-0.50","10,552",
"2019/07/09","16,538,987","3,998,096,596","241.50","243.00","240.50","242.00","-0.50","6,486",
"2019/07/10","23,812,131","5,839,691,357","243.00","247.00","243.00","247.00","+5.00","12,366",
"2019/07/11","31,296,289","7,809,358,257","250.00","250.00","247.50","250.00","+3.00","14,360",
"2019/07/12","23,868,432","5,984,689,000","252.00","252.00","249.50","250.50","+0.50","8,363",
"2019/07/15","34,264,300","8,663,129,910","251.00","254.50","249.50","254.50","+4.00","12,174",
"2019/07/16","26,141,249","6,678,755,679","254.00","256.50","253.50","256.00","+1.50","8,994",
"2019/07/17","34,346,648","8,686,815,824","254.00","254.00","251.00","252.00","-4.00","11,106",
"2019/07/18","20,908,575","5,300,082,470","252.00","254.50","251.50","254.00","+2.00","8,245",
"2019/07/19","59,879,798","15,573,278,932","259.50","261.00","259.00","259.00","+5.00","21,827",
"2019/07/22","31,863,639","8,385,222,407","263.00","264.00","262.00","264.00","+5.00","13,424",
"2019/07/23","29,273,223","7,734,089,131","265.50","266.50","262.50","264.00"," 0.00","12,791",
"2019/07/24","24,511,039","6,484,708,226","266.50","266.50","263.00","265.00","+1.00","10,617",
"2019/07/25","30,698,545","8,091,922,380","264.00","265.00","261.50","265.00"," 0.00","10,643",
"2019/07/26","20,768,071","5,434,082,968","261.00","262.50","261.00","261.00","-4.00","8,850",
"2019/07/29","18,473,320","4,822,762,518","260.00","262.00","259.50","261.00"," 0.00","6,681",
"2019/07/30","22,895,612","5,975,389,270","262.50","263.00","260.00","260.00","-1.00","7,191",
"2019/07/31","36,365,601","9,413,416,604","260.00","260.00","257.00","259.50","-0.50","10,468",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

