"2019/02  Daily Trading Value/Volume of 2330 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2019/02/11","81,360,106","18,546,167,132","228.00","229.00","226.50","228.00","+7.00","21,689",
"2019/02/12","30,125,670","6,921,488,930","230.00","230.00","229.00","230.00","+2.00","13,313",
"2019/02/13","28,634,925","6,575,201,825","232.00","232.00","228.50","229.00","-1.00","10,230",
"2019/02/14","23,647,751","5,392,943,977","229.50","230.00","226.00","227.00","-2.00","6,873",
"2019/02/15","22,369,799","5,093,773,373","229.00","229.00","226.50","227.00"," 0.00","5,743",
"2019/02/18","18,163,916","4,169,729,625","229.00","230.50","228.50","230.00","+3.00","7,035",
"2019/02/19","18,423,023","4,228,108,427","230.00","230.50","229.00","229.00","-1.00","6,471",
"2019/02/20","31,887,710","7,430,197,670","231.50","234.50","231.00","234.50","+5.50","14,241",
"2019/02/21","34,013,489","8,013,908,284","235.50","236.50","234.50","236.50","+2.00","11,443",
"2019/02/22","22,032,163","5,187,054,985","235.50","236.50","234.00","236.50"," 0.00","6,913",
"2019/02/25","25,227,138","5,995,746,054","237.50","239.00","236.00","238.00","+1.50","8,527",
"2019/02/26","24,586,789","5,864,298,571","239.00","240.00","236.50","239.50","+1.50","7,994",
"2019/02/27","37,947,889","9,052,540,803","238.50","239.50","237.00","239.00","-0.50","9,931",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

