"2021/05  Daily Trading Value/Volume of 2395 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2021/05/03","855,389","306,710,648","355.00","361.00","355.00","358.50","+2.50","781",
"2021/05/04","1,114,634","391,886,890","360.00","360.00","345.00","348.00","-10.50","1,036",
"2021/05/05","657,096","227,128,765","350.00","353.50","340.00","343.00","-5.00","735",
"2021/05/06","1,063,681","363,000,600","348.00","348.00","336.00","344.00","+1.00","914",
"2021/05/07","1,861,651","648,009,503","346.50","352.00","343.50","348.00","+4.00","1,180",
"2021/05/10","1,051,060","364,262,620","350.00","351.00","344.50","346.50","-1.50","529",
"2021/05/11","1,365,503","455,261,607","350.00","350.00","326.50","326.50","-20.00","1,175",
"2021/05/12","2,431,251","785,114,106","320.00","338.00","303.50","318.50","-8.00","1,829",
"2021/05/13","1,961,738","621,726,500","323.00","325.00","311.00","312.00","-6.50","1,672",
"2021/05/14","1,591,956","511,282,287","311.50","325.00","311.50","324.50","+12.50","1,108",
"2021/05/17","1,050,180","336,730,580","325.00","325.50","314.00","322.50","-2.00","877",
"2021/05/18","2,098,204","683,531,112","321.50","330.00","318.50","327.50","+5.00","861",
"2021/05/19","1,569,422","508,369,983","322.00","328.00","321.00","322.50","-5.00","742",
"2021/05/20","1,415,960","457,283,452","322.50","325.50","316.50","322.50"," 0.00","1,032",
"2021/05/21","1,075,457","345,435,374","320.50","327.00","317.50","319.00","-3.50","1,023",
"2021/05/24","817,424","260,750,347","316.00","322.50","313.00","320.00","+1.00","736",
"2021/05/25","2,001,730","643,450,697","317.50","326.00","316.00","323.00","+3.00","1,295",
"2021/05/26","794,464","257,018,363","320.50","327.50","320.00","325.50","+2.50","698",
"2021/05/27","3,691,776","1,199,377,618","320.00","331.00","315.50","325.00","-0.50","1,469",
"2021/05/28","821,857","268,138,986","326.50","329.50","324.00","326.50","+1.50","748",
"2021/05/31","901,077","296,598,222","327.50","332.00","327.00","329.50","+3.00","782",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

