"2021/11  Daily Trading Value/Volume of 2330 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2021/11/01","17,110,357","10,107,402,871","591.00","593.00","590.00","590.00"," 0.00","13,798",
"2021/11/02","16,544,999","9,808,608,554","594.00","597.00","590.00","592.00","+2.00","11,662",
"2021/11/03","11,404,984","6,773,439,607","597.00","597.00","592.00","592.00"," 0.00","8,934",
"2021/11/04","18,888,245","11,112,246,412","592.00","594.00","585.00","587.00","-5.00","22,171",
"2021/11/05","35,086,799","20,974,569,571","598.00","600.00","595.00","600.00","+13.00","31,929",
"2021/11/08","20,886,897","12,544,595,323","600.00","602.00","598.00","602.00","+2.00","17,964",
"2021/11/09","42,340,785","25,935,652,781","611.00","617.00","610.00","611.00","+9.00","42,855",
"2021/11/10","18,518,512","11,303,615,778","611.00","612.00","608.00","612.00","+1.00","19,147",
"2021/11/11","20,257,792","12,225,622,771","600.00","606.00","600.00","606.00","-6.00","16,140",
"2021/11/12","21,373,014","12,801,799,429","610.00","611.00","602.00","604.00","-2.00","13,869",
"2021/11/15","17,140,935","10,434,209,332","609.00","611.00","607.00","608.00","+4.00","13,140",
"2021/11/16","21,776,308","13,285,168,416","612.00","612.00","608.00","610.00","+2.00","14,487",
"2021/11/17","21,829,653","13,330,782,804","615.00","615.00","608.00","610.00"," 0.00","14,807",
"2021/11/18","22,933,191","14,019,057,524","613.00","614.00","607.00","613.00","+3.00","15,913",
"2021/11/19","38,847,820","24,047,156,185","622.00","623.00","617.00","618.00","+5.00","32,179",
"2021/11/22","23,296,854","14,354,639,781","618.00","618.00","615.00","615.00","-3.00","14,108",
"2021/11/23","20,022,520","12,266,300,247","615.00","615.00","611.00","612.00","-3.00","15,011",
"2021/11/24","22,978,524","13,904,268,592","612.00","612.00","602.00","603.00","-9.00","23,584",
"2021/11/25","14,171,433","8,551,663,451","605.00","607.00","601.00","603.00"," 0.00","14,137",
"2021/11/26","27,882,175","16,609,442,268","598.00","601.00","592.00","596.00","-7.00","47,638",
"2021/11/29","24,160,615","14,360,266,132","594.00","598.00","591.00","593.00","-3.00","23,653",
"2021/11/30","69,160,408","41,208,103,150","597.00","600.00","591.00","596.00","+3.00","24,427",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

