"2017/01  Daily Trading Value/Volume of 1233 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2017/01/03","5,400","199,500","36.70","36.90","36.70","36.70","-0.05","10",
"2017/01/04","27,150","995,420","36.65","36.80","36.60","36.80","+0.10","24",
"2017/01/05","9,026","332,764","36.65","36.90","36.65","36.85","+0.05","8",
"2017/01/06","13,000","477,400","36.70","36.80","36.70","36.80","-0.05","10",
"2017/01/09","14,143","521,591","36.70","37.00","36.70","37.00","+0.20","10",
"2017/01/10","12,001","443,587","36.70","37.10","36.70","37.10","+0.10","11",
"2017/01/11","20,010","740,720","37.10","37.10","37.00","37.05","-0.05","15",
"2017/01/12","6,000","221,500","36.90","37.00","36.90","37.00","-0.05","6",
"2017/01/13","3,050","112,920","37.00","37.00","37.00","37.00"," 0.00","4",
"2017/01/16","14,041","519,569","37.05","37.05","37.00","37.00"," 0.00","14",
"2017/01/17","16,065","596,111","37.00","37.25","37.00","37.10","+0.10","16",
"2017/01/18","11,001","410,037","37.30","37.30","37.20","37.25","+0.15","12",
"2017/01/19","9,015","335,808","37.25","37.25","37.25","37.25"," 0.00","10",
"2017/01/20","4,050","150,620","37.15","37.30","37.05","37.30","+0.05","5",
"2017/01/23","34,062","1,266,212","37.30","37.50","37.00","37.00","-0.30","29",
"2017/01/24","34,012","1,254,746","37.00","37.00","36.80","36.80","-0.20","20",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

