"2024/05 Highlights of Daily Trading"
"Date","Trade Volume","Trade Value","Transaction","TAIEX","Change",
"2024/05/02","8,406,070,998","400,064,121,040","3,001,915","20,222.44","-174.16",
"2024/05/03","8,493,343,556","411,537,853,883","3,078,660","20,330.32","107.88",
"2024/05/06","8,531,380,014","419,541,187,216","3,060,936","20,523.31","192.99",
"2024/05/07","8,310,364,105","412,922,087,120","3,139,663","20,653.53","130.22",
"2024/05/08","8,266,990,221","426,258,565,076","3,077,061","20,700.51","46.98",
"2024/05/09","8,462,569,991","425,408,050,734","3,118,438","20,560.77","-139.74",
"2024/05/10","9,484,962,143","443,049,417,948","3,275,745","20,708.84","148.07",
"2024/05/13","9,004,389,415","434,965,318,336","3,263,721","20,857.71","148.87",
"2024/05/14","9,083,268,995","476,611,123,743","3,313,209","20,985.85","128.14",
"2024/05/15","10,020,867,467","499,211,247,991","3,571,903","21,147.21","161.36",
"2024/05/16","10,676,029,114","536,611,980,491","3,645,545","21,304.26","157.05",
"2024/05/17","9,381,134,038","423,552,482,939","3,327,272","21,258.47","-45.79",
"2024/05/20","9,698,206,286","451,218,925,953","3,555,308","21,271.63","13.16",
"2024/05/21","8,349,241,695","379,494,867,375","3,101,541","21,236.75","-34.88",
"2024/05/22","9,892,255,736","449,048,297,640","3,434,238","21,551.83","315.08",
"2024/05/23","10,342,069,047","519,881,943,223","3,699,753","21,607.43","55.60",
"2024/05/24","8,654,957,789","424,406,715,932","3,021,421","21,565.34","-42.09",
"2024/05/27","10,249,255,642","503,455,304,052","3,414,071","21,803.77","238.43",
"2024/05/28","9,828,428,372","485,154,993,858","3,436,101","21,858.41","54.64",
"2024/05/29","10,075,066,392","492,767,712,665","3,639,292","21,662.50","-195.91",
"2024/05/30","9,367,769,353","431,114,138,346","3,550,210","21,364.48","-298.02",
"2024/05/31","11,881,955,402","690,057,362,589","3,695,295","21,174.22","-190.26",
"Remarks:"
"Statistics of today cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"The total trade value including foreign currency ETFs is converted into NTD, using the exchange rate posted at 3:30pm on the day of trading. Please refer to our official website at https://www.twse.com.tw/en/ Home > Market Info>Dual-Currency Trading ETFs>Daily exchange rate"

