"2024/11 Highlights of Daily Trading"
"Date","Trade Volume","Trade Value","Transaction","TAIEX","Change",
"2024/11/01","8,015,830,336","426,473,843,994","2,898,462","22,780.08","-40.35",
"2024/11/04","6,638,863,076","318,016,029,540","2,347,376","22,965.39","185.31",
"2024/11/05","6,504,125,423","335,010,346,569","2,345,200","23,106.79","141.40",
"2024/11/06","8,013,368,499","409,279,637,442","2,608,905","23,217.38","110.59",
"2024/11/07","8,714,755,662","433,104,923,764","2,766,889","23,408.82","191.44",
"2024/11/08","8,522,966,746","431,921,730,932","3,065,396","23,553.89","145.07",
"2024/11/11","7,157,746,399","364,692,596,666","2,666,778","23,529.64","-24.25",
"2024/11/12","8,798,515,554","451,592,984,207","3,456,427","22,981.77","-547.87",
"2024/11/13","7,454,299,614","391,009,231,614","2,823,191","22,860.23","-121.54",
"2024/11/14","8,159,633,620","411,560,285,262","3,028,451","22,715.38","-144.85",
"2024/11/15","7,887,946,734","418,186,594,655","2,773,515","22,742.77","27.39",
"2024/11/18","7,378,710,427","357,345,166,660","2,800,649","22,546.54","-196.23",
"2024/11/19","7,496,707,446","361,591,033,679","2,430,847","22,848.80","302.26",
"2024/11/20","7,304,592,323","386,906,471,829","2,692,654","22,688.36","-160.44",
"2024/11/21","6,888,868,470","356,854,804,677","2,420,759","22,555.66","-132.70",
"2024/11/22","7,592,870,837","356,834,142,633","2,377,102","22,904.32","348.66",
"2024/11/25","9,016,499,118","483,184,447,262","2,630,519","22,948.37","44.05",
"2024/11/26","6,587,493,682","318,042,672,139","2,513,648","22,678.76","-269.61",
"2024/11/27","7,465,837,064","383,216,700,257","3,304,202","22,334.78","-343.98",
"2024/11/28","6,876,239,566","334,110,155,664","2,726,259","22,298.90","-35.88",
"2024/11/29","6,121,271,991","315,469,664,319","2,106,602","22,262.50","-36.40",
"Remarks:"
"Statistics of today cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"The total trade value including foreign currency ETFs is converted into NTD, using the exchange rate posted at 3:30pm on the day of trading. Please refer to our official website at https://www.twse.com.tw/en/ Home > Market Info>Dual-Currency Trading ETFs>Daily exchange rate"

