"2021/11  Daily Trading Value/Volume of 2412 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2021/11/01","6,706,689","743,029,031","111.00","111.00","110.50","111.00","+0.50","4,542",
"2021/11/02","7,517,574","831,303,731","111.00","111.00","110.00","110.50","-0.50","3,767",
"2021/11/03","8,510,462","939,341,816","110.50","111.00","110.00","110.50"," 0.00","3,619",
"2021/11/04","5,701,579","630,781,509","110.50","111.00","110.50","111.00","+0.50","2,477",
"2021/11/05","6,743,383","747,402,674","111.00","111.00","110.50","111.00"," 0.00","3,892",
"2021/11/08","8,772,390","974,953,243","111.00","111.50","110.50","111.50","+0.50","3,427",
"2021/11/09","6,241,780","694,477,421","111.00","111.50","110.50","111.50"," 0.00","2,651",
"2021/11/10","8,634,462","964,460,421","111.50","112.00","111.00","112.00","+0.50","3,676",
"2021/11/11","10,837,310","1,213,588,513","112.00","112.50","111.00","112.50","+0.50","2,705",
"2021/11/12","7,550,072","848,292,076","112.00","112.50","112.00","112.50"," 0.00","2,957",
"2021/11/15","11,246,753","1,268,227,745","112.50","113.00","112.00","113.00","+0.50","4,006",
"2021/11/16","10,373,910","1,177,476,391","113.00","114.00","112.50","114.00","+1.00","4,348",
"2021/11/17","8,005,862","914,690,841","114.00","114.50","113.50","114.50","+0.50","3,771",
"2021/11/18","4,900,612","561,967,781","114.50","115.00","114.00","115.00","+0.50","2,760",
"2021/11/19","9,844,580","1,114,630,387","114.50","115.00","112.50","113.00","-2.00","6,745",
"2021/11/22","5,631,423","634,573,595","113.00","113.50","112.50","112.50","-0.50","2,273",
"2021/11/23","5,483,892","619,975,177","113.00","114.00","112.50","113.50","+1.00","2,911",
"2021/11/24","2,802,664","318,264,074","113.50","114.00","113.00","113.50"," 0.00","1,720",
"2021/11/25","4,392,112","497,666,527","113.50","114.00","113.00","113.50"," 0.00","2,428",
"2021/11/26","8,042,354","908,405,675","113.00","114.00","112.50","113.00","-0.50","3,638",
"2021/11/29","5,044,668","568,124,951","112.50","113.00","112.00","112.50","-0.50","2,962",
"2021/11/30","24,404,354","2,737,791,969","112.50","113.00","112.00","112.00","-0.50","5,112",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

