"2022/11  Daily Trading Value/Volume of 2330 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2022/11/01","42,123,141","16,428,079,355","388.50","393.00","386.00","391.50","+1.50","29,780",
"2022/11/02","23,169,428","9,091,891,929","391.00","395.00","388.50","395.00","+3.50","22,285",
"2022/11/03","42,092,776","16,201,844,314","385.00","387.00","383.50","384.00","-11.00","52,660",
"2022/11/04","30,839,846","11,762,941,797","381.00","384.50","378.50","382.00","-2.00","26,895",
"2022/11/07","37,704,746","14,710,405,524","390.00","393.00","387.00","390.00","+8.00","30,880",
"2022/11/08","32,576,136","12,954,941,396","395.00","399.50","394.00","399.00","+9.00","35,956",
"2022/11/09","56,357,663","23,188,739,823","403.50","417.00","403.50","417.00","+18.00","67,569",
"2022/11/10","33,671,621","13,757,669,359","409.00","411.50","406.00","407.50","-9.50","36,471",
"2022/11/11","83,770,040","36,838,808,146","441.50","442.00","435.00","441.50","+34.00","100,349",
"2022/11/14","63,282,094","28,257,175,788","450.00","450.00","441.50","445.00","+3.50","48,957",
"2022/11/15","118,536,865","56,191,637,241","465.00","487.00","462.00","480.00","+35.00","139,136",
"2022/11/16","88,416,393","43,103,738,374","491.50","494.00","481.50","487.00","+7.00","98,338",
"2022/11/17","46,850,915","22,547,582,604","482.50","485.00","475.00","485.00","-2.00","57,331",
"2022/11/18","37,001,332","18,131,673,834","491.50","494.00","486.00","487.00","+2.00","41,694",
"2022/11/21","30,609,465","14,843,805,078","487.50","489.50","480.50","482.00","-5.00","35,815",
"2022/11/22","39,329,440","19,112,616,916","476.00","491.00","476.00","491.00","+9.00","40,964",
"2022/11/23","34,752,559","17,111,333,375","494.50","496.00","488.50","492.00","+1.00","32,889",
"2022/11/24","28,477,359","14,073,196,704","494.00","496.00","492.00","496.00","+4.00","34,387",
"2022/11/25","41,461,805","20,594,790,238","494.00","498.00","494.00","498.00","+2.00","34,399",
"2022/11/28","40,815,045","19,790,586,320","486.00","490.00","480.50","480.50","-17.50","57,163",
"2022/11/29","40,266,315","19,374,604,221","473.50","488.00","473.00","487.00","+6.50","35,929",
"2022/11/30","60,728,041","29,643,130,386","483.00","490.00","482.50","490.00","+3.00","25,325",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

