"2022/12  Daily Trading Value/Volume of 2330 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2022/12/01","43,684,491","21,976,936,461","506.00","508.00","498.50","498.50","+8.50","46,181",
"2022/12/02","29,909,021","14,745,810,388","490.00","497.00","490.00","492.50","-6.00","31,799",
"2022/12/05","33,048,153","16,272,219,716","491.50","497.50","489.00","489.00","-3.50","31,739",
"2022/12/06","44,964,237","21,703,863,181","488.00","489.00","478.00","478.00","-11.00","44,448",
"2022/12/07","39,978,821","19,128,832,587","477.00","485.50","475.00","475.00","-3.00","43,603",
"2022/12/08","28,348,573","13,366,736,635","475.00","475.00","467.00","471.50","-3.50","45,114",
"2022/12/09","28,903,860","13,881,674,073","478.00","484.50","476.00","481.50","+10.00","25,790",
"2022/12/12","24,064,002","11,435,789,974","476.50","478.00","473.50","475.00","-6.50","34,393",
"2022/12/13","36,028,109","17,034,191,389","473.00","476.00","471.00","471.50","-3.50","36,559",
"2022/12/14","35,263,781","16,860,500,181","472.00","480.50","472.00","480.50","+9.00","25,102",
"2022/12/15","26,001,756","12,446,105,928","476.00","481.50","474.50","480.50","X0.00","21,052",
"2022/12/16","51,707,693","24,262,026,661","466.50","471.00","465.50","471.00","-9.50","69,011",
"2022/12/19","24,231,653","11,320,207,884","466.50","469.50","465.00","466.50","-4.50","30,247",
"2022/12/20","33,181,363","15,291,302,176","465.00","467.00","455.00","457.50","-9.00","59,543",
"2022/12/21","40,831,313","18,763,874,901","460.00","463.00","457.00","459.00","+1.50","31,581",
"2022/12/22","14,519,582","6,784,664,988","466.50","469.00","464.00","468.00","+9.00","16,893",
"2022/12/23","26,724,153","12,200,056,423","457.50","458.50","455.00","455.00","-13.00","63,532",
"2022/12/26","9,152,790","4,171,194,858","454.00","457.00","453.50","456.50","+1.50","16,718",
"2022/12/27","10,486,219","4,820,155,221","458.00","462.50","457.00","457.00","+0.50","13,482",
"2022/12/28","34,823,492","15,643,266,841","451.00","452.00","446.00","451.00","-6.00","59,400",
"2022/12/29","25,596,357","11,400,284,554","444.00","449.50","442.50","446.00","-5.00","34,637",
"2022/12/30","22,297,604","10,079,102,379","455.00","456.50","448.50","448.50","+2.50","23,086",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

