"2025/04 Highlights of Daily Trading"
"Date","Trade Volume","Trade Value","Transaction","TAIEX","Change",
"2025/04/01","5,826,078,127","278,254,400,622","2,123,628","21,280.17","584.27",
"2025/04/02","4,985,282,024","240,146,859,369","1,830,718","21,298.22","18.05",
"2025/04/07","5,683,302,502","166,095,041,450","2,477,014","19,232.35","-2,065.87",
"2025/04/08","12,393,863,553","577,950,957,444","4,884,176","18,459.95","-772.40",
"2025/04/09","12,614,257,140","590,040,522,967","5,520,314","17,391.76","-1,068.19",
"2025/04/10","5,329,120,133","208,504,485,334","1,540,372","19,000.03","1,608.27",
"2025/04/11","9,129,660,662","527,108,374,659","3,900,338","19,528.77","528.74",
"2025/04/14","7,665,646,173","474,947,203,845","3,408,942","19,513.09","-15.68",
"2025/04/15","5,242,983,763","305,561,723,714","2,458,147","19,857.67","344.58",
"2025/04/16","5,216,346,236","296,550,497,546","2,820,807","19,468.00","-389.67",
"2025/04/17","4,599,431,706","257,584,164,735","2,136,607","19,338.73","-129.27",
"2025/04/18","3,792,878,040","201,639,077,744","1,654,025","19,395.03","56.30",
"2025/04/21","4,486,948,824","213,646,250,942","2,116,970","19,106.20","-288.83",
"2025/04/22","4,881,720,763","250,003,984,052","2,241,678","18,793.43","-312.77",
"2025/04/23","5,314,940,502","275,548,700,667","2,018,651","19,639.14","845.71",
"2025/04/24","4,358,134,847","248,994,902,573","1,960,251","19,478.81","-160.33",
"2025/04/25","4,961,167,477","298,510,240,543","2,089,173","19,872.73","393.92",
"2025/04/28","3,948,682,101","222,995,069,262","1,713,127","20,034.41","161.68",
"2025/04/29","4,654,115,665","250,105,465,896","1,902,200","20,232.63","198.22",
"2025/04/30","5,103,616,376","282,189,467,291","2,171,666","20,235.03","2.40",
"Remarks:"
"Statistics of today cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"The total trade value including foreign currency ETFs is converted into NTD, using the exchange rate posted at 3:30pm on the day of trading. Please refer to our official website at https://www.twse.com.tw/en/ Home > Market Info>Dual-Currency Trading ETFs>Daily exchange rate"

