"2015/06  Daily Trading Value/Volume of 2330 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2015/06/01","31,646,861","4,585,709,246","145.50","146.00","144.00","145.00","-1.00","9,735",
"2015/06/02","33,433,403","4,812,699,032","144.50","144.50","143.50","144.00","-1.00","10,752",
"2015/06/03","30,174,690","4,333,388,014","143.50","144.50","143.00","143.00","-1.00","7,788",
"2015/06/04","62,313,192","8,793,986,209","142.00","142.50","140.00","141.00","-2.00","17,920",
"2015/06/05","42,846,692","5,990,378,661","139.50","140.50","139.00","140.00","-1.00","13,335",
"2015/06/08","45,637,640","6,346,411,738","139.50","140.00","138.50","138.50","-1.50","17,131",
"2015/06/09","31,663,811","4,410,907,091","138.50","140.00","138.00","139.00","+0.50","10,951",
"2015/06/10","37,243,196","5,235,873,213","141.00","141.50","139.50","139.50","+0.50","11,225",
"2015/06/11","46,455,780","6,630,323,144","141.00","144.00","141.00","143.50","+4.00","15,700",
"2015/06/12","35,243,603","5,072,826,832","144.00","144.50","142.50","144.50","+1.00","9,645",
"2015/06/15","23,775,780","3,409,554,790","144.50","144.50","142.50","143.00","-1.50","7,385",
"2015/06/16","28,696,598","4,063,948,476","143.00","143.00","141.00","142.00","-1.00","11,387",
"2015/06/17","31,675,566","4,518,862,957","143.00","143.50","142.00","142.50","+0.50","8,595",
"2015/06/18","28,627,136","4,072,821,812","142.00","143.00","142.00","142.00","-0.50","5,820",
"2015/06/22","29,598,804","4,224,036,248","142.00","143.50","142.00","142.00"," 0.00","8,985",
"2015/06/23","37,809,098","5,454,961,112","143.00","145.00","142.50","144.50","+2.50","11,319",
"2015/06/24","21,134,324","3,054,456,980","144.50","145.00","143.50","145.00","+0.50","7,362",
"2015/06/25","45,571,067","6,670,295,223","145.00","147.00","145.00","146.50","+1.50","11,443",
"2015/06/26","34,170,981","4,994,996,846","147.00","147.50","145.50","146.00","-0.50","10,199",
"2015/06/29","53,096,169","7,415,992,660","140.50","141.00","138.50","138.50","X0.00","20,523",
"2015/06/30","45,375,815","6,336,988,915","139.00","140.50","138.50","140.50","+2.00","15,871",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

