"2015/02  Daily Trading Value/Volume of 2330 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2015/02/02","30,382,755","4,310,814,470","140.50","143.00","140.50","142.50","+1.50","7,265",
"2015/02/03","27,234,908","3,911,596,752","143.00","144.50","142.00","144.50","+2.00","7,438",
"2015/02/04","43,152,252","6,270,013,358","144.50","146.50","144.00","146.00","+1.50","10,725",
"2015/02/05","25,327,809","3,661,740,425","145.50","146.00","143.50","145.50","-0.50","8,827",
"2015/02/06","28,668,194","4,131,250,622","145.50","145.50","143.00","143.00","-2.50","10,068",
"2015/02/09","26,650,627","3,790,983,534","143.00","143.50","141.50","142.00","-1.00","7,095",
"2015/02/10","33,452,346","4,760,519,217","142.00","143.00","141.50","142.50","+0.50","8,287",
"2015/02/11","71,429,251","10,550,756,946","146.00","149.00","146.00","148.00","+5.50","21,683",
"2015/02/12","35,027,816","5,193,362,537","149.50","149.50","147.50","148.50","+0.50","10,815",
"2015/02/13","38,571,667","5,752,407,636","148.50","150.00","148.00","148.50"," 0.00","13,408",
"2015/02/24","74,443,659","11,211,962,367","149.00","152.00","148.50","151.00","+2.50","17,976",
"2015/02/25","48,326,782","7,425,359,928","152.50","154.50","152.50","154.50","+3.50","13,778",
"2015/02/26","58,406,927","8,838,206,759","153.50","154.00","150.50","150.50","-4.00","16,129",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

