"2017/03  Daily Trading Value/Volume of 8046 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2017/03/01","748,209","18,765,566","25.35","25.35","24.85","25.00","-0.20","408",
"2017/03/02","721,100","18,078,539","25.05","25.30","24.90","25.20","+0.20","413",
"2017/03/03","728,600","18,214,537","25.25","25.25","24.85","24.95","-0.25","380",
"2017/03/06","756,001","18,827,521","25.00","25.10","24.80","24.90","-0.05","445",
"2017/03/07","1,055,051","26,607,285","25.00","25.65","24.80","25.45","+0.55","580",
"2017/03/08","750,798","18,907,539","25.50","25.50","25.05","25.05","-0.40","373",
"2017/03/09","766,800","19,019,800","25.10","25.10","24.70","24.70","-0.35","386",
"2017/03/10","784,128","19,530,080","24.70","25.25","24.65","25.00","+0.30","427",
"2017/03/13","988,733","24,458,475","25.00","25.05","24.65","24.70","-0.30","444",
"2017/03/14","448,557","11,160,065","24.70","24.95","24.70","24.85","+0.15","307",
"2017/03/15","318,239","7,908,214","24.80","25.00","24.75","24.75","-0.10","172",
"2017/03/16","619,724","15,506,774","24.80","25.15","24.80","25.00","+0.25","457",
"2017/03/17","2,655,281","67,416,787","25.00","25.55","24.95","25.55","+0.55","768",
"2017/03/20","1,786,957","46,116,634","25.75","26.00","25.65","25.65","+0.10","932",
"2017/03/21","898,187","22,837,209","25.80","25.80","25.20","25.40","-0.25","528",
"2017/03/22","919,436","23,376,279","25.30","25.65","25.00","25.50","+0.10","529",
"2017/03/23","704,438","18,009,797","25.40","25.80","25.35","25.35","-0.15","395",
"2017/03/24","1,947,771","50,575,677","25.40","26.35","25.35","25.90","+0.55","869",
"2017/03/27","2,363,087","62,117,551","25.80","26.80","25.75","25.90"," 0.00","1,129",
"2017/03/28","1,592,406","40,777,839","26.00","26.15","25.20","25.35","-0.55","771",
"2017/03/29","5,960,225","152,211,721","25.50","25.70","25.40","25.50","+0.15","343",
"2017/03/30","866,890","22,245,493","25.70","25.90","25.50","25.50"," 0.00","397",
"2017/03/31","1,188,065","30,858,621","25.65","26.25","25.55","25.90","+0.40","526",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

