"2016/11  Daily Trading Value/Volume of 2330 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2016/11/01","15,128,851","2,854,597,839","188.50","189.50","187.50","189.50","+1.00","5,917",
"2016/11/02","16,529,619","3,085,447,900","187.50","188.00","186.00","186.00","-3.50","7,380",
"2016/11/03","25,531,563","4,724,824,155","185.50","186.50","184.50","184.50","-1.50","7,976",
"2016/11/04","15,107,076","2,791,857,480","184.50","186.00","184.00","184.50"," 0.00","7,260",
"2016/11/07","21,430,225","4,023,208,624","186.50","189.00","186.00","189.00","+4.50","7,934",
"2016/11/08","15,954,387","3,011,077,756","190.00","190.00","188.00","188.50","-0.50","6,225",
"2016/11/09","55,579,000","10,245,544,000","190.00","190.50","182.00","182.00","-6.50","22,278",
"2016/11/10","38,869,432","7,258,713,102","187.00","188.00","185.50","185.50","+3.50","13,292",
"2016/11/11","67,636,187","12,291,321,069","181.50","183.00","181.00","181.50","-4.00","19,522",
"2016/11/14","48,032,589","8,680,850,609","181.00","182.00","180.00","180.50","-1.00","14,717",
"2016/11/15","33,528,517","6,055,348,577","179.50","182.00","179.00","180.00","-0.50","11,312",
"2016/11/16","35,293,770","6,403,374,640","180.50","183.00","180.00","180.00"," 0.00","10,900",
"2016/11/17","23,256,023","4,214,237,980","182.00","182.50","180.50","181.50","+1.50","5,234",
"2016/11/18","23,731,433","4,291,503,493","181.50","181.50","180.00","181.00","-0.50","6,949",
"2016/11/21","15,622,673","2,824,317,313","180.50","181.50","180.00","181.00"," 0.00","6,391",
"2016/11/22","31,348,118","5,758,734,362","182.00","185.00","181.50","184.00","+3.00","10,086",
"2016/11/23","23,068,606","4,278,324,376","184.50","186.50","184.00","185.50","+1.50","9,806",
"2016/11/24","19,098,768","3,505,303,784","184.00","185.00","183.00","183.00","-2.50","6,354",
"2016/11/25","10,226,870","1,866,763,623","182.50","183.50","182.00","182.00","-1.00","4,117",
"2016/11/28","22,360,419","4,097,502,666","181.50","184.00","181.50","184.00","+2.00","6,548",
"2016/11/29","26,894,638","4,930,405,401","183.50","185.00","182.00","182.00","-2.00","6,259",
"2016/11/30","54,053,279","9,882,147,890","181.50","183.00","181.50","183.00","+1.00","5,767",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

