"2019/03  Daily Trading Value/Volume of 1303 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2019/03/04","11,527,613","874,784,595","76.70","76.80","75.60","75.60","-1.30","4,655",
"2019/03/05","6,281,549","474,427,464","75.60","76.10","75.20","75.20","-0.40","2,945",
"2019/03/06","2,887,374","218,433,916","75.30","75.80","75.30","75.80","+0.60","1,567",
"2019/03/07","3,406,125","259,006,100","75.80","76.30","75.70","76.20","+0.40","1,653",
"2019/03/08","3,619,262","273,947,971","76.20","76.20","75.30","75.60","-0.60","2,368",
"2019/03/11","4,431,138","336,223,635","75.60","76.20","75.50","75.50","-0.10","1,703",
"2019/03/12","3,754,964","285,883,664","76.30","76.40","75.90","75.90","+0.40","1,579",
"2019/03/13","2,248,886","170,884,936","76.30","76.30","75.90","76.00","+0.10","1,134",
"2019/03/14","4,648,189","352,535,524","75.90","76.00","75.60","75.60","-0.40","2,541",
"2019/03/15","8,117,810","616,064,560","75.70","76.00","75.60","76.00","+0.40","2,142",
"2019/03/18","4,860,650","369,899,907","76.10","76.50","75.80","76.50","+0.50","1,846",
"2019/03/19","5,723,938","435,623,052","76.40","76.40","76.00","76.00","-0.50","2,964",
"2019/03/20","7,262,851","550,757,021","76.00","76.20","75.60","76.20","+0.20","3,017",
"2019/03/21","9,415,846","722,602,742","76.60","77.10","76.50","76.60","+0.40","3,836",
"2019/03/22","6,035,423","463,720,871","77.00","77.20","76.60","77.00","+0.40","3,590",
"2019/03/25","5,155,703","394,332,992","76.50","76.70","76.20","76.40","-0.60","2,512",
"2019/03/26","7,847,405","604,433,166","76.90","77.30","76.70","77.30","+0.90","3,147",
"2019/03/27","5,147,040","399,426,584","77.50","77.90","77.20","77.50","+0.20","2,518",
"2019/03/28","5,869,253","457,347,249","77.50","78.30","77.50","78.20","+0.70","2,669",
"2019/03/29","8,101,887","635,794,378","78.30","78.90","77.80","78.90","+0.70","2,987",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

